epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1117.57,1.91213,1.33871,1.13743,0.62797,0.58586,0.61233,0.28,1.59091,1.22121,0.96675,0.000650909,0.000650909,0.000650909
57,1137.48,1.9188,1.32807,1.13461,0.80474,0.51282,0.62965,0.29107,1.57878,1.17029,0.95757,0.000636762,0.000636762,0.000636762
58,1157.6,1.90154,1.30746,1.13934,0.71329,0.53719,0.63391,0.287,1.57326,1.19721,0.95113,0.000622615,0.000622615,0.000622615
59,1177.59,1.88117,1.27804,1.1323,0.74932,0.54258,0.64524,0.29137,1.52971,1.15075,0.9511,0.000608468,0.000608468,0.000608468
60,1197.56,1.88689,1.33488,1.13168,0.73966,0.51534,0.62589,0.2985,1.5486,1.21568,0.94759,0.000594321,0.000594321,0.000594321
61,1217.56,1.86642,1.22235,1.12406,0.79347,0.54992,0.66127,0.29341,1.52928,1.18464,0.95016,0.000580174,0.000580174,0.000580174
62,1237.63,1.81177,1.20544,1.12456,0.71177,0.56756,0.65363,0.30101,1.54782,1.14833,0.94225,0.000566027,0.000566027,0.000566027
63,1257.55,1.87665,1.22544,1.13199,0.77252,0.60159,0.68001,0.30987,1.54207,1.08219,0.94184,0.00055188,0.00055188,0.00055188
64,1277.67,1.87098,1.24989,1.14676,0.76683,0.5707,0.66446,0.30838,1.57103,1.16655,0.94987,0.000537733,0.000537733,0.000537733
65,1297.54,1.85436,1.2452,1.1289,0.7162,0.5899,0.66142,0.30303,1.57408,1.25649,0.95768,0.000523586,0.000523586,0.000523586
66,1317.57,1.79514,1.19734,1.09558,0.70504,0.54193,0.6351,0.29707,1.53612,1.07816,0.95554,0.000509438,0.000509438,0.000509438
67,1337.43,1.80416,1.20322,1.09172,0.71208,0.5696,0.63889,0.28948,1.54541,1.10383,0.94715,0.000495291,0.000495291,0.000495291
68,1357.5,1.80209,1.15678,1.11566,0.80063,0.51258,0.63934,0.29868,1.55082,1.12623,0.95622,0.000481144,0.000481144,0.000481144
69,1377.43,1.78823,1.14722,1.1026,0.78534,0.51461,0.64179,0.2968,1.62213,1.21427,0.95483,0.000466997,0.000466997,0.000466997
70,1397.46,1.80492,1.19583,1.09707,0.72825,0.63599,0.68958,0.3104,1.56913,1.12991,0.95648,0.00045285,0.00045285,0.00045285
71,1417.51,1.77131,1.12997,1.09152,0.71744,0.56087,0.66852,0.29684,1.6055,1.10144,0.95915,0.000438703,0.000438703,0.000438703
72,1437.44,1.79882,1.15059,1.09579,0.74627,0.57708,0.67067,0.30177,1.58058,1.106,0.94541,0.000424556,0.000424556,0.000424556
73,1457.48,1.77569,1.1608,1.10575,0.74025,0.59822,0.69074,0.31796,1.55172,1.05468,0.95022,0.000410409,0.000410409,0.000410409
74,1477.56,1.75206,1.13101,1.09663,0.74183,0.63233,0.68816,0.32177,1.57523,1.05476,0.94699,0.000396262,0.000396262,0.000396262
75,1497.67,1.70976,1.10312,1.07327,0.7093,0.64261,0.68579,0.31137,1.56056,1.0849,0.93249,0.000382115,0.000382115,0.000382115
76,1517.6,1.72648,1.09801,1.0943,0.81877,0.56088,0.67756,0.31543,1.55577,1.08299,0.93907,0.000367967,0.000367967,0.000367967
77,1537.5,1.73379,1.13602,1.07524,0.76297,0.64948,0.70695,0.33585,1.53501,1.05764,0.93668,0.00035382,0.00035382,0.00035382
78,1557.57,1.75503,1.1107,1.09616,0.76402,0.63572,0.71744,0.3352,1.57376,1.09309,0.94741,0.000339673,0.000339673,0.000339673
79,1577.52,1.74761,1.1008,1.07741,0.76429,0.61925,0.69259,0.32085,1.58693,1.06804,0.96008,0.000325526,0.000325526,0.000325526
80,1597.58,1.74635,1.09703,1.07309,0.75104,0.61482,0.68782,0.31734,1.61383,1.01208,0.96105,0.000311379,0.000311379,0.000311379
81,1617.52,1.7155,1.07246,1.08929,0.76612,0.63939,0.71851,0.32564,1.57072,1.08278,0.94607,0.000297232,0.000297232,0.000297232
82,1637.46,1.69948,1.0656,1.07384,0.8312,0.61931,0.72161,0.33133,1.5589,1.07953,0.94537,0.000283085,0.000283085,0.000283085
83,1657.43,1.68031,1.08199,1.0759,0.82649,0.64843,0.74403,0.33763,1.59178,1.04868,0.9446,0.000268938,0.000268938,0.000268938
84,1677.44,1.67302,1.05008,1.05991,0.78475,0.62452,0.72727,0.33557,1.58454,1.00744,0.94176,0.000254791,0.000254791,0.000254791
85,1697.45,1.67853,1.01553,1.05718,0.81884,0.65503,0.73848,0.33852,1.54564,1.01541,0.93851,0.000240644,0.000240644,0.000240644
86,1717.48,1.67081,1.02935,1.06168,0.78471,0.62177,0.7327,0.33869,1.57087,1.05486,0.93951,0.000226497,0.000226497,0.000226497
87,1737.45,1.70565,1.04865,1.06544,0.76296,0.63964,0.73731,0.33038,1.55848,1.08894,0.93955,0.000212349,0.000212349,0.000212349
88,1757.48,1.6651,1.02879,1.05732,0.74084,0.65213,0.73311,0.34398,1.54925,1.03619,0.93972,0.000198202,0.000198202,0.000198202
89,1777.46,1.66788,1.07631,1.08068,0.81502,0.65745,0.74803,0.33913,1.57605,1.02175,0.94621,0.000184055,0.000184055,0.000184055
90,1797.43,1.64534,1.03257,1.06096,0.85916,0.67996,0.76531,0.35349,1.5688,1.0671,0.94519,0.000169908,0.000169908,0.000169908
91,1817.68,1.58061,0.96222,1.07606,0.77757,0.65081,0.72952,0.34236,1.59269,1.05454,0.94933,0.000155761,0.000155761,0.000155761
92,1837.69,1.57222,0.91019,1.07402,0.76898,0.65614,0.71242,0.33453,1.59098,1.0203,0.93914,0.000141614,0.000141614,0.000141614
93,1857.52,1.53338,0.91585,1.06513,0.79948,0.66099,0.74365,0.34007,1.58484,1.04378,0.93733,0.000127467,0.000127467,0.000127467
94,1877.46,1.51576,0.90488,1.06539,0.76425,0.65198,0.71776,0.33525,1.58335,1.01813,0.94806,0.00011332,0.00011332,0.00011332
95,1897.3,1.52367,0.89771,1.06098,0.77153,0.65145,0.72171,0.33697,1.56165,1.02755,0.93681,9.91726e-05,9.91726e-05,9.91726e-05
96,1917.14,1.54976,0.91355,1.07655,0.77724,0.6433,0.72536,0.33261,1.58023,1.01763,0.94095,8.50255e-05,8.50255e-05,8.50255e-05
97,1937.02,1.52686,0.91558,1.06171,0.79703,0.68678,0.74803,0.34157,1.57674,1.00162,0.94287,7.08784e-05,7.08784e-05,7.08784e-05
98,1957.02,1.54303,0.91809,1.0669,0.80241,0.69455,0.74947,0.34608,1.56747,1.00315,0.94295,5.67313e-05,5.67313e-05,5.67313e-05
99,1976.87,1.538,0.9226,1.06201,0.83016,0.65106,0.74969,0.34642,1.55737,1.02023,0.9407,4.25842e-05,4.25842e-05,4.25842e-05
100,1996.64,1.52283,0.91125,1.07057,0.79698,0.65701,0.73307,0.34607,1.5503,1.01511,0.9373,2.84371e-05,2.84371e-05,2.84371e-05
