epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2605.56,1.10912,0.96035,1.31127,0.87071,0.86231,0.90941,0.6117,1.11834,0.76728,1.40251,0.003961,0.003961,0.003961
63,2647.9,1.1086,0.93688,1.31318,0.87009,0.85309,0.90962,0.60756,1.13299,0.77746,1.42486,0.003862,0.003862,0.003862
64,2690.22,1.10575,0.95125,1.308,0.87518,0.84509,0.91066,0.60861,1.11434,0.77359,1.4137,0.003763,0.003763,0.003763
65,2732.52,1.1002,0.93232,1.29694,0.88628,0.84506,0.91324,0.618,1.11448,0.75352,1.41747,0.003664,0.003664,0.003664
66,2774.97,1.10183,0.93499,1.29919,0.89302,0.84854,0.91224,0.61765,1.11014,0.75506,1.41456,0.003565,0.003565,0.003565
67,2817.33,1.08338,0.92474,1.29671,0.88437,0.86059,0.91573,0.61798,1.10617,0.74472,1.40979,0.003466,0.003466,0.003466
68,2859.73,1.08178,0.91788,1.29286,0.87674,0.8537,0.91519,0.61035,1.12144,0.75785,1.41501,0.003367,0.003367,0.003367
69,2902.03,1.07866,0.91061,1.29241,0.88419,0.83821,0.90595,0.61141,1.10998,0.76022,1.41507,0.003268,0.003268,0.003268
70,2944.38,1.07445,0.89911,1.28447,0.88556,0.84854,0.9092,0.6165,1.10563,0.7485,1.4078,0.003169,0.003169,0.003169
71,2986.76,1.07005,0.90069,1.28651,0.88325,0.8464,0.90808,0.61131,1.10548,0.74547,1.41124,0.00307,0.00307,0.00307
72,3029.09,1.06287,0.9067,1.28172,0.88538,0.85542,0.90776,0.6177,1.10079,0.74576,1.40592,0.002971,0.002971,0.002971
73,3071.4,1.0586,0.89977,1.27797,0.87319,0.86231,0.90244,0.61847,1.10066,0.74373,1.40435,0.002872,0.002872,0.002872
74,3113.77,1.05345,0.88758,1.27198,0.87953,0.85714,0.90662,0.62107,1.10319,0.73472,1.4061,0.002773,0.002773,0.002773
75,3156.12,1.05588,0.88699,1.27609,0.87688,0.85198,0.90574,0.62824,1.0957,0.74076,1.39367,0.002674,0.002674,0.002674
76,3198.41,1.04823,0.8694,1.26684,0.88425,0.85466,0.90661,0.62619,1.09846,0.73969,1.39914,0.002575,0.002575,0.002575
77,3240.73,1.04456,0.87879,1.27194,0.86599,0.85642,0.90975,0.62969,1.08174,0.74514,1.37715,0.002476,0.002476,0.002476
78,3283.12,1.03313,0.85879,1.26194,0.87079,0.85837,0.90596,0.62971,1.08061,0.73552,1.37806,0.002377,0.002377,0.002377
79,3325.45,1.03484,0.86449,1.26372,0.87033,0.8537,0.9072,0.63144,1.08012,0.73438,1.38336,0.002278,0.002278,0.002278
80,3367.89,1.03161,0.86634,1.25864,0.8702,0.86059,0.90279,0.62499,1.08556,0.73141,1.3938,0.002179,0.002179,0.002179
81,3410.23,1.02003,0.8537,1.24985,0.87619,0.84854,0.90604,0.63028,1.08123,0.73035,1.39143,0.00208,0.00208,0.00208
82,3452.6,1.0141,0.8437,1.24235,0.88313,0.8454,0.90812,0.63299,1.07714,0.72323,1.38955,0.001981,0.001981,0.001981
83,3495.01,1.01259,0.84969,1.24854,0.8683,0.84682,0.90702,0.63158,1.07116,0.71567,1.38937,0.001882,0.001882,0.001882
84,3537.46,1.00465,0.83894,1.23901,0.88547,0.84854,0.90586,0.63204,1.06869,0.71532,1.38829,0.001783,0.001783,0.001783
